company_name,company_code,our_company_name,our_code
TESSAN,5619,KARADENIZ_TICARET,4037
TESSAN,9699B,KARADENIZ_TICARET,4043
TESSAN,5791,KARADENIZ_TICARET,4044
TESSAN,5791K,KARADENIZ_TICARET,4044K
TESSAN,5691,KARADENIZ_TICARET,5001
TESSAN,5693,KARADENIZ_TICARET,5001E
TESSAN,5787,KARADENIZ_TICARET,5002D
TESSAN,5051,KARADENIZ_TICARET,5005
TESSAN,9700,KARADENIZ_TICARET,5009
TESSAN,5010,KARADENIZ_TICARET,5010
TESSAN,7532,KARADENIZ_TICARET,5011
TESSAN,5246,KARADENIZ_TICARET,5012
TESSAN,5110,KARADENIZ_TICARET,5016
TESSAN,5114,KARADENIZ_TICARET,5017
TESSAN,5353,KARADENIZ_TICARET,6003
TESSAN,5352,KARADENIZ_TICARET,6003M
TESSAN,5687,KARADENIZ_TICARET,6008
TESSAN,5761,KARADENIZ_TICARET,6008E
TESSAN,5780,KARADENIZ_TICARET,6011
TESSAN,4075,KARADENIZ_TICARET,6012
TESSAN,9696A,KARADENIZ_TICARET,6013A
TESSAN,5086,KARADENIZ_TICARET,6017
TESSAN,5268,KARADENIZ_TICARET,6019
TESSAN,5240,KARADENIZ_TICARET,6020
TESSAN,5016,KARADENIZ_TICARET,6029
TESSAN,6016,KARADENIZ_TICARET,6035
TESSAN,5325,KARADENIZ_TICARET,6080
TESSAN,5325B,KARADENIZ_TICARET,6080Y
TESSAN,5811,KARADENIZ_TICARET,7001
TESSAN,5790K,KARADENIZ_TICARET,7006A
TESSAN,5805,KARADENIZ_TICARET,7009
TESSAN,7801,KARADENIZ_TICARET,8002
TESSAN,8780,KARADENIZ_TICARET,8030
TESSAN,5778,KARADENIZ_TICARET,9002
TESSAN,1080,KARADENIZ_TICARET,10006
TESSAN,1005,KARADENIZ_TICARET,10007A
TESSAN,5550,KARADENIZ_TICARET,12001
TESSAN,9411,KARADENIZ_TICARET,1699
TESSAN,5281,KARADENIZ_TICARET,0061
TESSAN,5284,KARADENIZ_TICARET,0062
TESSAN,5052,KARADENIZ_TICARET,0064
TESSAN,5052G,KARADENIZ_TICARET,0064G
